setting,start,trading_start,end,initial_cash,execution_mode,roundtrip_cost_bp,max_participation,annual_return,cagr,sharpe,max_drawdown,total_return,final_value,orders,partial_or_failed_rate,failed_rate,capacity_limited_rate,lot_residual_rate,no_minute_data_rate,no_turnover_rate,limit_block_rate,avg_slippage_bp,avg_participation,avg_abs_exposure_gap,source_file,slippage_model,sqrt_k,cross_border_penalty_bp,commodity_penalty_bp,open_penalty_bp,spread_penalty_mult,spread_penalty_cap_bp,max_slippage_bp,near_limit_threshold_bp,near_limit_capacity_mult,tag_suffix,avg_impact_component_bp,avg_extra_penalty_bp,avg_spread_proxy_bp,near_limit_rate
F2_CAP_MA60,2025-10-01,2026-01-02,2026-06-25,30000000.0,open_0935,15.0,0.1,0.4320176207330254,0.4898631325014482,1.6767286773443888,-0.1118859913352723,0.186330206510265,35731219.98979778,865.0,0.8670520231213873,0.1757225433526011,0.4959537572254335,0.2069364161849711,0.0254335260115606,0.122543352601156,0.0023121387283236,16.732117812061713,0.0685912571597121,0.2232207395468246,minute_execution_summary_F2_CAP_MA60_20251001_20260625.csv,,,,,,,,,,,,,,,
F2_CAP_MA60,2025-10-01,2026-01-02,2026-06-25,30000000.0,open_0935,20.0,0.1,0.4317295953352785,0.4894326202770629,1.6755753665285456,-0.1118990628168937,0.1861832787775061,35726794.65601382,865.0,0.861271676300578,0.176878612716763,0.4959537572254335,0.2011560693641618,0.0254335260115606,0.122543352601156,0.0023121387283236,17.219101123595507,0.0686866542923792,0.2232238842691641,minute_execution_summary_F2_CAP_MA60_20251001_20260625.csv,,,,,,,,,,,,,,,
F2_CAP_MA60,2025-10-01,2026-01-02,2026-06-25,30000000.0,t2_open_0935,5.0,0.1,0.4442030576863325,0.5024271257980439,1.633313628147879,-0.1099104003450074,0.1906074805120605,35645223.782150075,871.0,0.8438576349024111,0.1584385763490241,0.521239954075775,0.1699196326061997,0.0252583237657864,0.1079219288174512,0.0034443168771526,16.04638472032742,0.0704824409955534,0.2044227533684931,minute_execution_summary_F2_CAP_MA60_20251001_20260625.csv,,,,,,,,,,,,,,,
F2_CAP_MA60,2025-10-01,2026-01-02,2026-06-25,30000000.0,t2_open_0935,7.0,0.1,0.4441284369995857,0.5023162917383392,1.6330556134149066,-0.1099195943828639,0.1905698378091038,35644096.809077404,871.0,0.851894374282434,0.1595866819747416,0.521239954075775,0.1768082663605051,0.0252583237657864,0.1079219288174512,0.0034443168771526,16.187158469945356,0.070578534644158,0.2044233542198309,minute_execution_summary_F2_CAP_MA60_20251001_20260625.csv,,,,,,,,,,,,,,,
F2_CAP_MA60,2025-10-01,2026-01-02,2026-06-25,30000000.0,t2_open_0935,10.0,0.1,0.4440250113853757,0.5021609537419918,1.6326726150615094,-0.1099331303471098,0.1905170775106839,35642517.23505761,872.0,0.8612385321100917,0.1605504587155963,0.5206422018348624,0.1880733944954128,0.0252293577981651,0.1077981651376146,0.003440366972477,16.383879781420767,0.0705783516214979,0.2044214680802183,minute_execution_summary_F2_CAP_MA60_20251001_20260625.csv,,,,,,,,,,,,,,,
F2_CAP_MA60,2025-10-01,2026-01-02,2026-06-25,30000000.0,t2_open_0935,15.0,0.1,0.4437605383125939,0.5017626680719971,1.6316764698588138,-0.1099606227537913,0.1903817861827355,35638466.79044052,871.0,0.8507462686567164,0.1607347876004592,0.521239954075775,0.1779563719862227,0.0252583237657864,0.1079219288174512,0.0034443168771526,16.807113543091656,0.0706734147490587,0.2044225359895244,minute_execution_summary_F2_CAP_MA60_20251001_20260625.csv,,,,,,,,,,,,,,,
F2_CAP_MA60,2025-10-01,2026-01-02,2026-06-25,30000000.0,t2_open_0935,20.0,0.1,0.4433665940380812,0.5011675471818751,1.630162148929284,-0.1099915979974524,0.1901795948389024,35632413.44723908,871.0,0.8495981630309989,0.1630309988518943,0.521239954075775,0.1756601607347876,0.0252583237657864,0.1079219288174512,0.0034443168771526,17.26474622770919,0.0708668372846457,0.2044187121688593,minute_execution_summary_F2_CAP_MA60_20251001_20260625.csv,,,,,,,,,,,,,,,
F2_CAP_MA60,2025-10-01,2026-01-02,2026-06-25,30000000.0,tail_vwap_1430_1455,5.0,0.1,0.9554258402563436,1.4580891886036742,2.887609118826655,-0.1524873014243065,0.4702764029952029,44093435.76087031,696.0,0.5948275862068966,0.0804597701149425,0.1824712643678161,0.3333333333333333,0.0316091954022988,0.0186781609195402,0.0057471264367816,9.7453125,0.0323728774737841,0.0703609866242374,minute_execution_summary_F2_CAP_MA60_20251001_20260625.csv,,,,,,,,,,,,,,,
F2_CAP_MA60,2025-10-01,2026-01-02,2026-06-25,30000000.0,tail_vwap_1430_1455,7.0,0.1,0.9538767100063226,1.4543125407053958,2.8830931412072927,-0.1524921021137413,0.4693078535010835,44064389.062703095,696.0,0.5890804597701149,0.0790229885057471,0.1824712643678161,0.3290229885057471,0.0316091954022988,0.0186781609195402,0.0057471264367816,10.157566302652103,0.0323149455630877,0.0703661167957577,minute_execution_summary_F2_CAP_MA60_20251001_20260625.csv,,,,,,,,,,,,,,,
F2_CAP_MA60,2025-10-01,2026-01-02,2026-06-25,30000000.0,tail_vwap_1430_1455,10.0,0.1,0.9515752272486252,1.44871966632877,2.876462035803842,-0.1524974082568017,0.4678719534174209,44021326.56916853,695.0,0.6158273381294964,0.079136690647482,0.1827338129496402,0.3525179856115107,0.0316546762589928,0.018705035971223,0.0057553956834532,10.79765625,0.0323518188543034,0.0703543184109955,minute_execution_summary_F2_CAP_MA60_20251001_20260625.csv,,,,,,,,,,,,,,,
